uid,hn,street,boro,state
92613,32-04,166TH ST,QUEENS,NY
92614,32-05,166TH ST,QUEENS,NY
92615,32-11,166TH ST,QUEENS,NY
92616,32-14,166TH ST,QUEENS,NY
92617,32-15,166TH ST,QUEENS,NY
92618,32-16,166TH ST,QUEENS,NY
92619,32-19,166TH ST,QUEENS,NY
92620,32-20,166TH ST,QUEENS,NY
92621,32-23,166TH ST,QUEENS,NY
92622,32-24,166TH ST,QUEENS,NY
92623,32-27,166TH ST,QUEENS,NY
92624,32-28,166TH ST,QUEENS,NY
92625,32-31,166TH ST,QUEENS,NY
92626,32-32,166TH ST,QUEENS,NY
92627,32-29,166TH ST,QUEENS,NY
92628,33-03,166TH ST,QUEENS,NY
92629,33-04,166TH ST,QUEENS,NY
92630,33-10,166TH ST,QUEENS,NY
92631,33-11,166TH ST,QUEENS,NY
92632,33-14,166TH ST,QUEENS,NY
92633,33-15,166TH ST,QUEENS,NY
92634,33-18,166TH ST,QUEENS,NY
92635,33-19,166TH ST,QUEENS,NY
92636,33-22,166TH ST,QUEENS,NY
92637,33-25,166TH ST,QUEENS,NY
92638,33-26,166TH ST,QUEENS,NY
92639,33-29,166TH ST,QUEENS,NY
92640,33-33,166TH ST,QUEENS,NY
92641,33-34,166TH ST,QUEENS,NY
92642,33-37,166TH ST,QUEENS,NY
92643,33-38,166TH ST,QUEENS,NY
92644,33-42,166TH ST,QUEENS,NY
92645,33-43,166TH ST,QUEENS,NY
92646,33-46,166TH ST,QUEENS,NY
92647,33-47,166TH ST,QUEENS,NY
92648,33-50,166TH ST,QUEENS,NY
92649,33-51,166TH ST,QUEENS,NY
92650,33-54,166TH ST,QUEENS,NY
92651,33-55,166TH ST,QUEENS,NY
92652,33-58,166TH ST,QUEENS,NY
92653,33-59,166TH ST,QUEENS,NY
92654,33-65,166TH ST,QUEENS,NY
92655,33-66,166TH ST,QUEENS,NY
92656,33-69,166TH ST,QUEENS,NY
92657,33-70,166TH ST,QUEENS,NY
92658,33-73,166TH ST,QUEENS,NY
92659,33-76,166TH ST,QUEENS,NY
92660,33-77,166TH ST,QUEENS,NY
92661,33-88,166TH ST,QUEENS,NY
92662,35-03,166TH ST,QUEENS,NY
92663,35-06,166TH ST,QUEENS,NY
92664,35-12,166TH ST,QUEENS,NY
92665,35-11,166TH ST,QUEENS,NY
92666,35-15,166TH ST,QUEENS,NY
92667,35-18,166TH ST,QUEENS,NY
92668,35-24,166TH ST,QUEENS,NY
92669,35-27,166TH ST,QUEENS,NY
92670,35-30,166TH ST,QUEENS,NY
92671,35-31,166TH ST,QUEENS,NY
92672,35-35,166TH ST,QUEENS,NY
92673,35-36,166TH ST,QUEENS,NY
92674,35-43,166TH ST,QUEENS,NY
92675,35-44,166TH ST,QUEENS,NY
92676,35-49,166TH ST,QUEENS,NY
92677,35-50,166TH ST,QUEENS,NY
92678,35-54,166TH ST,QUEENS,NY
92679,35-55,166TH ST,QUEENS,NY
92680,35-62,166TH ST,QUEENS,NY
92681,35-69,166TH ST,QUEENS,NY
92682,35-83,166TH ST,QUEENS,NY
92683,32-01,167TH ST,QUEENS,NY
92684,32-04,167TH ST,QUEENS,NY
92685,32-07,167TH ST,QUEENS,NY
92686,32-08,167TH ST,QUEENS,NY
92687,32-10,167TH ST,QUEENS,NY
92688,32-15,167TH ST,QUEENS,NY
92689,32-16,167TH ST,QUEENS,NY
92690,32-20,167TH ST,QUEENS,NY
92691,32-21,167TH ST,QUEENS,NY
92692,32-24,167TH ST,QUEENS,NY
92693,32-25,167TH ST,QUEENS,NY
